Valor,Año,Month
27.04,2011,January
24.67,2011,February
17.86,2011,March
48.25,2011,April
27.41,2011,May
15.4,2011,June
12.71,2011,July
12.92,2011,August
14.71,2011,September
27.93,2011,October
31.65,2011,November
38.87,2011,December
36.65,2012,January
33.08,2012,February
24.33,2012,March
38.09,2012,April
36.74,2012,May
18.09,2012,June
10.71,2012,July
3.675,2012,August
2.382,2012,September
6.652,2012,October
20.65,2012,November
18.74,2012,December
11.05,2013,January
18.0,2013,February
30.73,2013,March
27.38,2013,April
46.09,2013,May
22.17,2013,June
10.89,2013,July
11.23,2013,August
11.99,2013,September
19.27,2013,October
27.89,2013,November
30.9,2013,December
21.65,2014,January
15.38,2014,February
22.87,2014,March
24.14,2014,April
45.29,2014,May
24.28,2014,June
12.42,2014,July
6.783,2014,August
4.544,2014,September
20.54,2014,October
28.58,2014,November
18.17,2014,December
13.94,2015,January
12.39,2015,February
14.21,2015,March
25.74,2015,April
15.62,2015,May
12.55,2015,June
7.614,2015,July
2.531,2015,August
2.531,2015,September
16.33,2015,October
31.95,2015,November
15.17,2015,December
8.61813911290328,2016,January
9.40202586206898,2016,February
15.0331646505374,2016,March
28.1380124999978,2016,April
42.691143055556,2016,May
24.4032041666669,2016,June
14.6576727150539,2016,July
8.4207923387091,2016,August
10.1768895833333,2016,September
25.3622331989243,2016,October
51.7440374999978,2016,November
55.8879502688227,2016,December
36.5745927419351,2017,January
12.3991584821433,2017,February
23.4713548387076,2017,March
40.9461357638898,2017,April
44.4233911290328,2017,May
32.8842986111113,2017,June
16.0474932795702,2017,July
8.21570026881721,2017,August
11.2135798611109,2017,September
23.8979469086022,2017,October
33.782690277778,2017,November
31.0720376344087,2017,December
30.135529569893,2018,January
18.7345870535715,2018,February
12.2298971774183,2018,March
22.5508833333326,2018,April
41.5972083333318,2018,May
32.0392166666687,2018,June
12.149985887096,2018,July
11.5046418010757,2018,August
7.36037638888896,2018,September
15.5862836021499,2018,October
33.0826437499996,2018,November
22.8096989247316,2018,December
9.36760752688174,2019,January
14.394479166666,2019,February
31.8726626344085,2019,March
60.749327777779,2019,April
42.9033286290303,2019,May
39.6897187500028,2019,June
13.9097923387098,2019,July
6.28627419354859,2019,August
5.34870208333302,2019,September
14.371731182795,2019,October
41.0117479166645,2019,November
25.061479838709,2019,December
12.90536155914,2020,January
7.29222988505746,2020,February
9.90413172043017,2020,March
13.6547958333327,2020,April
21.088336021505,2020,May
28.8508673611113,2020,June
33.9318145161294,2020,July
15.0270188172042,2020,August
12.5259486111109,2020,September
18.160893145161,2020,October
26.1322902777768,2020,November
40.2567782258063,2020,December
34.9619240591406,2021,January
17.9300840773808,2021,February
34.1723077956987,2021,March
29.1555041666652,2021,April
42.5521008064516,2021,May
61.4688159722233,2021,June
17.3326995967743,2021,July
20.3298219086019,2021,August
21.1553097222216,2021,September
31.9984260752684,2021,October
41.603004166666,2021,November
