Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,mean,std
2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
27.04,36.65,11.05,21.65,13.94,8.61813911290328,36.5745927419351,30.135529569893,9.36760752688174,12.90536155914,34.9619240591406,22.08119586999034,10.841507940213905
24.67,33.08,18.0,15.38,12.39,9.40202586206898,12.3991584821433,18.7345870535715,14.394479166666,7.29222988505746,17.9300840773808,16.69750586608073,6.908924478964709
17.86,24.33,30.73,22.87,14.21,15.0331646505374,23.4713548387076,12.2298971774183,31.8726626344085,9.90413172043017,34.1723077956987,21.516683528836424,7.953009836706349
48.25,38.09,27.38,24.14,25.74,28.1380124999978,40.9461357638898,22.5508833333326,60.749327777779,13.6547958333327,29.1555041666652,32.61769630681792,12.701684864869963
27.41,36.74,46.09,45.29,15.62,42.691143055556,44.4233911290328,41.5972083333318,42.9033286290303,21.088336021505,42.5521008064516,36.945955270446134,10.12623282400091
15.4,18.09,22.17,24.28,12.55,24.4032041666669,32.8842986111113,32.0392166666687,39.6897187500028,28.8508673611113,61.4688159722233,28.347829229798567,12.978341362958504
12.71,10.71,10.89,12.42,7.614,14.6576727150539,16.0474932795702,12.149985887096,13.9097923387098,33.9318145161294,17.3326995967743,14.761223484848507,6.57476713134184
12.92,3.675,11.23,6.783,2.531,8.4207923387091,8.21570026881721,11.5046418010757,6.28627419354859,15.0270188172042,20.3298219086019,9.720295393450609,4.945419011561093
14.71,2.382,11.99,4.544,2.531,10.1768895833333,11.2135798611109,7.36037638888896,5.34870208333302,12.5259486111109,21.1553097222216,9.448891477272609,5.454928521025947
27.93,6.652,19.27,20.54,16.33,25.3622331989243,23.8979469086022,15.5862836021499,14.371731182795,18.160893145161,31.9984260752684,20.009046737536437,6.727128817032476
31.65,20.65,27.89,28.58,31.95,51.7440374999978,33.782690277778,33.0826437499996,41.0117479166645,26.1322902777768,41.603004166666,33.46149217171661,8.180224895731072
38.87,18.74,30.9,18.17,15.17,55.8879502688227,31.0720376344087,22.8096989247316,25.061479838709,40.2567782258063,,29.69379448924783,11.907312149147405
