Valor,Año,Month
4.43,2011,January
4.1,2011,February
4.39,2011,March
4.66,2011,April
4.02,2011,May
3.96,2011,June
4.13,2011,July
4.39,2011,August
4.81,2011,September
4.66,2011,October
4.39,2011,November
4.61,2011,December
3.99,2012,January
4.95,2012,February
4.48,2012,March
4.35,2012,April
4.78,2012,May
3.87,2012,June
5.26,2012,July
3.75,2012,August
4.13,2012,September
4.7,2012,October
3.88,2012,November
4.59,2012,December
4.85,2013,January
3.5,2013,February
4.86,2013,March
5.04,2013,April
2.74,2013,May
3.58,2013,June
3.98,2013,July
4.04,2013,August
4.56,2013,September
2.36,2013,October
4.08,2013,November
4.35,2013,December
3.88,2014,January
4.18,2014,February
5.31,2014,March
3.91,2014,April
4.53,2014,May
4.2,2014,June
5.1,2014,July
5.94,2014,August
5.55,2014,September
3.88,2014,October
3.56,2014,November
4.69,2014,December
3.56,2015,January
4.44,2015,February
4.84,2015,March
3.72,2015,April
4.58,2015,May
4.07,2015,June
3.78,2015,July
3.49,2015,August
4.66,2015,September
3.45,2015,October
3.91,2015,November
5.06,2015,December
4.9,2016,January
4.29,2016,February
3.94,2016,March
2.89,2016,April
4.04,2016,May
3.45,2016,June
4.26,2016,July
3.84,2016,August
4.26,2016,September
3.68,2016,October
4.09,2016,November
3.7,2016,December
3.87,2017,January
4.07,2017,February
3.82,2017,March
3.26,2017,April
3.09,2017,May
5.0,2017,June
4.4,2017,July
4.73,2017,August
3.28,2017,September
4.39,2017,October
4.07,2017,November
3.8,2017,December
5.34,2018,January
5.78,2018,February
4.23,2018,March
4.75,2018,April
4.92,2018,May
3.23,2018,June
4.37,2018,July
4.71,2018,August
5.24,2018,September
4.92,2018,October
3.44,2018,November
5.54,2018,December
3.75,2019,January
5.17,2019,February
3.42,2019,March
4.98,2019,April
3.92,2019,May
3.75,2019,June
4.57,2019,July
3.98,2019,August
4.54,2019,September
4.66,2019,October
3.91,2019,November
4.16,2019,December
4.68,2020,January
4.3,2020,February
2.95,2020,March
4.12,2020,April
4.17,2020,May
4.31,2020,June
5.4,2020,July
4.97,2020,August
3.93,2020,September
3.46,2020,October
4.39,2020,November
4.35,2020,December
5.57,2021,January
3.66,2021,February
4.62,2021,March
