Valor,Año,Month
2.23,2011,January
2.97,2011,February
2.03,2011,March
2.43,2011,April
1.71,2011,May
2.12,2011,June
2.05,2011,July
0.88,2011,August
2.09,2011,September
2.19,2011,October
2.41,2011,November
2.38,2011,December
3.27,2012,January
1.87,2012,February
1.38,2012,March
2.23,2012,April
1.42,2012,May
1.58,2012,June
1.1,2012,July
1.16,2012,August
1.72,2012,September
2.59,2012,October
2.68,2012,November
2.06,2012,December
2.69,2013,January
2.22,2013,February
1.77,2013,March
1.83,2013,April
2.07,2013,May
2.14,2013,June
2.09,2013,July
1.73,2013,August
2.14,2013,September
3.21,2013,October
3.18,2013,November
2.51,2013,December
2.34,2014,January
2.07,2014,February
2.45,2014,March
1.65,2014,April
2.24,2014,May
2.3,2014,June
1.24,2014,July
1.77,2014,August
1.88,2014,September
2.44,2014,October
1.76,2014,November
2.07,2014,December
1.81,2015,January
2.19,2015,February
1.62,2015,March
1.95,2015,April
1.59,2015,May
1.6,2015,June
1.91,2015,July
1.19,2015,August
2.29,2015,September
3.1,2015,October
1.53,2015,November
1.34,2015,December
2.16,2016,January
2.12,2016,February
2.0,2016,March
1.72,2016,April
2.88,2016,May
1.23,2016,June
1.93,2016,July
2.05,2016,August
3.84,2016,September
2.37,2016,October
2.13,2016,November
2.22,2016,December
1.97,2017,January
2.02,2017,February
1.91,2017,March
2.44,2017,April
1.59,2017,May
1.27,2017,June
1.57,2017,July
0.99,2017,August
2.13,2017,September
3.0,2017,October
2.8,2017,November
2.73,2017,December
2.38,2018,January
2.54,2018,February
2.08,2018,March
1.63,2018,April
1.66,2018,May
1.53,2018,June
1.46,2018,July
2.01,2018,August
2.24,2018,September
1.92,2018,October
3.26,2018,November
1.23,2018,December
2.8,2019,January
1.98,2019,February
2.2,2019,March
1.53,2019,April
1.89,2019,May
1.8,2019,June
1.4,2019,July
1.91,2019,August
2.58,2019,September
2.26,2019,October
2.68,2019,November
2.76,2019,December
1.95,2020,January
2.16,2020,February
2.7,2020,March
2.64,2020,April
1.98,2020,May
2.07,2020,June
1.73,2020,July
1.86,2020,August
2.07,2020,September
2.74,2020,October
2.38,2020,November
2.84,2020,December
1.91,2021,January
2.84,2021,February
2.08,2021,March
