Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,mean,std
2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
2.23,3.27,2.69,2.34,1.81,2.16,1.97,2.38,2.8,1.95,1.91,2.3190909090909093,0.4258778003447071
2.97,1.87,2.22,2.07,2.19,2.12,2.02,2.54,1.98,2.16,2.84,2.270909090909091,0.3408399929973686
2.03,1.38,1.77,2.45,1.62,2.0,1.91,2.08,2.2,2.7,2.08,2.02,0.34792893736299874
2.43,2.23,1.83,1.65,1.95,1.72,2.44,1.63,1.53,2.64,,2.005,0.37826577957832774
1.71,1.42,2.07,2.24,1.59,2.88,1.59,1.66,1.89,1.98,,1.903,0.40343648818618283
2.12,1.58,2.14,2.3,1.6,1.23,1.27,1.53,1.8,2.07,,1.764,0.3598666419661594
2.05,1.1,2.09,1.24,1.91,1.93,1.57,1.46,1.4,1.73,,1.648,0.32887079529809266
0.88,1.16,1.73,1.77,1.19,2.05,0.99,2.01,1.91,1.86,,1.555,0.42568180604766276
2.09,1.72,2.14,1.88,2.29,3.84,2.13,2.24,2.58,2.07,,2.2979999999999996,0.5583869625985192
2.19,2.59,3.21,2.44,3.1,2.37,3.0,1.92,2.26,2.74,,2.5820000000000003,0.4028845988617585
2.41,2.68,3.18,1.76,1.53,2.13,2.8,3.26,2.68,2.38,,2.481,0.5328311177099175
2.38,2.06,2.51,2.07,1.34,2.22,2.73,1.23,2.76,2.84,,2.2139999999999995,0.5336703102103395
