-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  3.2284   Longitude -76.5652 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1163.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2020,12,31,19,0.0
2020,12,31,20,0.0
2020,12,31,21,0.0
2020,12,31,22,0.0
2020,12,31,23,0.0
2021,1,1,0,0.0
2021,1,1,1,0.0
2021,1,1,2,0.0
2021,1,1,3,0.0
2021,1,1,4,0.0
2021,1,1,5,0.0
2021,1,1,6,30.75
2021,1,1,7,143.61
2021,1,1,8,288.07
2021,1,1,9,431.72
2021,1,1,10,563.08
2021,1,1,11,543.95
2021,1,1,12,509.2
2021,1,1,13,471.65
2021,1,1,14,388.96
2021,1,1,15,268.52
2021,1,1,16,156.91
2021,1,1,17,51.4
2021,1,1,18,0.0
2021,1,1,19,0.0
2021,1,1,20,0.0
2021,1,1,21,0.0
2021,1,1,22,0.0
2021,1,1,23,0.0
2021,1,2,0,0.0
2021,1,2,1,0.0
2021,1,2,2,0.0
2021,1,2,3,0.0
2021,1,2,4,0.0
2021,1,2,5,0.0
2021,1,2,6,27.36
2021,1,2,7,123.15
2021,1,2,8,293.43
2021,1,2,9,314.02
2021,1,2,10,566.9
2021,1,2,11,557.12
2021,1,2,12,460.02
2021,1,2,13,465.45
2021,1,2,14,391.77
2021,1,2,15,270.95
2021,1,2,16,134.12
2021,1,2,17,36.0
2021,1,2,18,0.0
2021,1,2,19,0.0
2021,1,2,20,0.0
2021,1,2,21,0.0
2021,1,2,22,0.0
2021,1,2,23,0.0
2021,1,3,0,0.0
2021,1,3,1,0.0
2021,1,3,2,0.0
2021,1,3,3,0.0
2021,1,3,4,0.0
2021,1,3,5,0.0
2021,1,3,6,18.45
2021,1,3,7,103.46
2021,1,3,8,204.08
2021,1,3,9,359.04
2021,1,3,10,468.76
2021,1,3,11,495.29
2021,1,3,12,561.74
2021,1,3,13,491.66
2021,1,3,14,407.82
2021,1,3,15,273.14
2021,1,3,16,140.37
2021,1,3,17,42.45
2021,1,3,18,0.0
2021,1,3,19,0.0
2021,1,3,20,0.0
2021,1,3,21,0.0
2021,1,3,22,0.0
2021,1,3,23,0.0
2021,1,4,0,0.0
2021,1,4,1,0.0
2021,1,4,2,0.0
2021,1,4,3,0.0
2021,1,4,4,0.0
2021,1,4,5,0.0
2021,1,4,6,28.48
2021,1,4,7,135.74
2021,1,4,8,258.91
2021,1,4,9,420.0
2021,1,4,10,539.09
2021,1,4,11,696.54
2021,1,4,12,577.7
2021,1,4,13,550.69
2021,1,4,14,469.8
2021,1,4,15,340.9
2021,1,4,16,180.12
2021,1,4,17,68.43
2021,1,4,18,0.0
2021,1,4,19,0.0
2021,1,4,20,0.0
2021,1,4,21,0.0
2021,1,4,22,0.0
2021,1,4,23,0.0
2021,1,5,0,0.0
2021,1,5,1,0.0
2021,1,5,2,0.0
2021,1,5,3,0.0
2021,1,5,4,0.0
2021,1,5,5,0.0
2021,1,5,6,20.57
2021,1,5,7,95.3
2021,1,5,8,214.08
2021,1,5,9,378.55
2021,1,5,10,465.48
2021,1,5,11,558.39
2021,1,5,12,512.0
2021,1,5,13,433.8
2021,1,5,14,243.87
2021,1,5,15,138.29
2021,1,5,16,69.19
2021,1,5,17,33.34
2021,1,5,18,0.0
2021,1,5,19,0.0
2021,1,5,20,0.0
2021,1,5,21,0.0
2021,1,5,22,0.0
2021,1,5,23,0.0
2021,1,6,0,0.0
2021,1,6,1,0.0
2021,1,6,2,0.0
2021,1,6,3,0.0
2021,1,6,4,0.0
2021,1,6,5,0.0
2021,1,6,6,20.81
2021,1,6,7,120.02
2021,1,6,8,273.84
2021,1,6,9,418.82
2021,1,6,10,550.93
2021,1,6,11,607.8
2021,1,6,12,615.5
2021,1,6,13,513.63
2021,1,6,14,429.95
2021,1,6,15,300.58
2021,1,6,16,168.23
2021,1,6,17,59.23
2021,1,6,18,0.0
2021,1,6,19,0.0
2021,1,6,20,0.0
2021,1,6,21,0.0
2021,1,6,22,0.0
2021,1,6,23,0.0
2021,1,7,0,0.0
2021,1,7,1,0.0
2021,1,7,2,0.0
2021,1,7,3,0.0
2021,1,7,4,0.0
2021,1,7,5,0.0
2021,1,7,6,29.85
2021,1,7,7,212.58
2021,1,7,8,399.23
2021,1,7,9,498.11
2021,1,7,10,564.18
2021,1,7,11,654.45
2021,1,7,12,612.53
2021,1,7,13,610.67
2021,1,7,14,491.64
2021,1,7,15,338.43
2021,1,7,16,181.23
2021,1,7,17,80.98
2021,1,7,18,0.0
2021,1,7,19,0.0
2021,1,7,20,0.0
2021,1,7,21,0.0
2021,1,7,22,0.0
2021,1,7,23,0.0
2021,1,8,0,0.0
2021,1,8,1,0.0
2021,1,8,2,0.0
2021,1,8,3,0.0
2021,1,8,4,0.0
2021,1,8,5,0.0
2021,1,8,6,28.29
2021,1,8,7,162.29
2021,1,8,8,300.41
2021,1,8,9,437.25
2021,1,8,10,464.42
2021,1,8,11,502.85
2021,1,8,12,504.77
2021,1,8,13,440.47
2021,1,8,14,425.9
2021,1,8,15,282.42
2021,1,8,16,148.7
2021,1,8,17,55.03
2021,1,8,18,0.0
2021,1,8,19,0.0
2021,1,8,20,0.0
2021,1,8,21,0.0
2021,1,8,22,0.0
2021,1,8,23,0.0
2021,1,9,0,0.0
2021,1,9,1,0.0
2021,1,9,2,0.0
2021,1,9,3,0.0
2021,1,9,4,0.0
2021,1,9,5,0.0
2021,1,9,6,24.7
2021,1,9,7,183.73
2021,1,9,8,367.69
2021,1,9,9,501.82
2021,1,9,10,549.59
2021,1,9,11,540.18
2021,1,9,12,552.03
2021,1,9,13,480.33
2021,1,9,14,418.71
2021,1,9,15,310.91
2021,1,9,16,190.63
2021,1,9,17,76.12
2021,1,9,18,0.0
2021,1,9,19,0.0
2021,1,9,20,0.0
2021,1,9,21,0.0
2021,1,9,22,0.0
2021,1,9,23,0.0
2021,1,10,0,0.0
2021,1,10,1,0.0
2021,1,10,2,0.0
2021,1,10,3,0.0
2021,1,10,4,0.0
2021,1,10,5,0.0
2021,1,10,6,24.72
2021,1,10,7,193.31
2021,1,10,8,367.59
2021,1,10,9,556.8
2021,1,10,10,568.58
2021,1,10,11,642.83
2021,1,10,12,601.94
2021,1,10,13,524.16
2021,1,10,14,438.2
2021,1,10,15,296.44
2021,1,10,16,176.8
2021,1,10,17,77.82
2021,1,10,18,0.0
2021,1,10,19,0.0
2021,1,10,20,0.0
2021,1,10,21,0.0
2021,1,10,22,0.0
2021,1,10,23,0.0
2021,1,11,0,0.0
2021,1,11,1,0.0
2021,1,11,2,0.0
2021,1,11,3,0.0
2021,1,11,4,0.0
2021,1,11,5,0.0
2021,1,11,6,25.34
2021,1,11,7,132.25
2021,1,11,8,277.46
2021,1,11,9,406.36
2021,1,11,10,568.05
2021,1,11,11,568.38
2021,1,11,12,543.77
2021,1,11,13,481.49
2021,1,11,14,471.65
2021,1,11,15,303.38
2021,1,11,16,171.64
2021,1,11,17,72.51
2021,1,11,18,0.0
2021,1,11,19,0.0
2021,1,11,20,0.0
2021,1,11,21,0.0
2021,1,11,22,0.0
2021,1,11,23,0.0
2021,1,12,0,0.0
2021,1,12,1,0.0
2021,1,12,2,0.0
2021,1,12,3,0.0
2021,1,12,4,0.0
2021,1,12,5,0.0
2021,1,12,6,25.95
2021,1,12,7,161.29
2021,1,12,8,279.12
2021,1,12,9,482.88
2021,1,12,10,522.02
2021,1,12,11,621.02
2021,1,12,12,641.23
2021,1,12,13,583.42
2021,1,12,14,507.95
2021,1,12,15,376.14
2021,1,12,16,229.17
2021,1,12,17,99.1
2021,1,12,18,0.0
2021,1,12,19,0.0
2021,1,12,20,0.0
2021,1,12,21,0.0
2021,1,12,22,0.0
2021,1,12,23,0.0
2021,1,13,0,0.0
2021,1,13,1,0.0
2021,1,13,2,0.0
2021,1,13,3,0.0
2021,1,13,4,0.0
2021,1,13,5,0.0
2021,1,13,6,17.29
2021,1,13,7,97.23
2021,1,13,8,240.03
2021,1,13,9,399.96
2021,1,13,10,532.29
2021,1,13,11,656.45
2021,1,13,12,680.54
2021,1,13,13,610.28
2021,1,13,14,524.77
2021,1,13,15,306.97
2021,1,13,16,179.77
2021,1,13,17,63.31
2021,1,13,18,0.0
2021,1,13,19,0.0
2021,1,13,20,0.0
2021,1,13,21,0.0
2021,1,13,22,0.0
2021,1,13,23,0.0
2021,1,14,0,0.0
2021,1,14,1,0.0
2021,1,14,2,0.0
2021,1,14,3,0.0
2021,1,14,4,0.0
2021,1,14,5,0.0
2021,1,14,6,25.28
