PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2011,15.55,15.55,15.26,15.66,16.06,15.94,15.58,15.93,15.88,15.12,15.3,15.42,15.6
T2M,2012,15.33,15.28,15.88,15.65,15.79,15.67,15.95,15.91,16.3,15.76,15.98,15.72,15.77
T2M,2013,16.62,16.28,16.8,16.73,16.03,15.94,15.9,15.82,16.31,16.13,15.45,15.84,16.15
T2M,2014,16.18,16.09,16.07,16.69,16.27,16.3,16.62,16.26,16.69,16.06,15.83,16.1,16.26
T2M,2015,15.87,16.36,16.32,16.59,16.71,16.53,16.48,17.27,17.63,16.89,16.55,17.23,16.7
T2M,2016,17.69,18.19,17.62,17.25,16.96,15.98,16.15,16.77,16.44,16.42,16.08,15.78,16.77
T2M,2017,15.69,15.98,15.91,16.53,16.36,16.11,15.85,16.3,16.34,16.08,15.87,16.01,16.08
T2M,2018,15.62,16.28,16.49,15.83,16.1,15.75,15.97,15.94,16.2,16.07,16.21,15.94,16.03
T2M,2019,16.6,16.99,16.92,16.8,16.5,16.35,16.04,16.69,16.69,15.9,16.17,16.43,16.51
T2M,2020,16.55,17.2,17.03,16.96,17.18,16.29,15.98,16.39,16.63,16.59,16.22,16.14,16.59
T2M,2021,16.23,16.75,16.02,16.2,16.41,15.68,15.78,15.9,16.0,16.48,15.98,16.32,16.14
WS10M,2011,1.51,1.71,2.05,1.34,1.99,2.23,2.81,2.5,2.34,1.95,1.72,1.69,1.99
WS10M,2012,1.54,1.6,2.21,1.55,2.13,2.88,3.27,2.59,2.83,1.87,1.59,2.05,2.18
WS10M,2013,1.84,1.7,1.66,1.61,1.45,2.8,3.19,2.45,2.32,1.84,2.23,1.84,2.08
WS10M,2014,1.57,1.26,1.55,2.17,1.6,3.34,4.34,3.1,1.91,1.93,1.84,1.73,2.2
WS10M,2015,2.38,2.29,1.79,2.3,2.58,4.23,3.47,3.38,2.89,1.98,1.8,3.16,2.69
WS10M,2016,1.63,1.93,1.65,1.73,2.3,2.88,3.0,3.22,2.3,1.46,1.84,1.44,2.12
WS10M,2017,1.82,2.07,1.35,1.86,1.55,1.89,3.04,2.0,1.73,1.77,1.72,1.73,1.88
WS10M,2018,1.55,1.56,1.73,2.03,1.54,3.08,3.03,3.79,2.25,1.63,1.51,2.41,2.18
WS10M,2019,2.46,1.33,1.41,1.55,1.62,3.0,3.09,3.31,2.15,1.38,1.93,1.62,2.08
WS10M,2020,2.73,2.02,1.43,1.77,2.62,2.75,2.47,2.55,1.8,1.98,1.66,1.34,2.09
WS10M,2021,1.52,1.67,1.53,1.89,2.42,2.28,3.66,2.41,2.19,1.44,1.41,1.52,2.0
ALLSKY_KT,2011,0.44,0.4,0.41,0.41,0.41,0.42,0.42,0.46,0.43,0.4,0.42,0.41,0.42
ALLSKY_KT,2012,0.41,0.41,0.4,0.4,0.42,0.45,0.45,0.42,0.43,0.42,0.41,0.42,0.42
ALLSKY_KT,2013,0.43,0.37,0.38,0.41,0.41,0.45,0.44,0.41,0.44,0.42,0.41,0.43,0.41
